#best=np.loadtxt(open("best13-5-4.txt"))
#rbest=np.reshape(best,600)
#np.bincount(rbest.astype(int))
#niters = 100000# Number of iterations
#ntrials = 20
#Run time for fast version: 7966.411852359772s
#Independence number according to the stochastic algorithm: 121
#Independent set computed by stochastic algorithm
0 1 2 3 4
 0  1  2  5 12
0 1 2 6 9
 0  1  2  8 11
0 1 3 5 6
0 1 3 8 9
 0  1  3 10 12
 0  1  4  5 11
0 1 4 6 7
 0  1  4  8 12
0 1 5 7 8
 0  1  5  9 10
 0  1  6  8 10
 0  1  6 11 12
 0  1  7  9 12
 0  2  3  5 11
 0  2  3  6 10
0 2 3 7 8
 0  2  3  9 12
0 2 4 5 6
0 2 4 7 9
 0  2  4  8 10
 0  2  4 11 12
0 2 5 8 9
 0  2  6  7 11
 0  2  6  8 12
 0  2  7 10 12
 0  2  9 10 11
 0  3  4  5 10
0 3 4 6 8
 0  3  4  7 11
0 3 5 7 9
 0  3  5  8 12
 0  3  6  7 12
 0  3  6  9 11
 0  3  8 10 11
 0  4  5  7 12
 0  4  6  9 12
 0  4  6 10 11
 0  4  8  9 11
 0  5  6  8 11
 0  5  6 10 12
 0  5  7 10 11
 0  5  9 11 12
 0  6  7  9 10
 0  7  8 11 12
 0  8  9 10 12
1 2 3 6 8
 1  2  3  7 11
 1  2  3  9 10
1 2 4 5 8
 1  2  4  9 12
 1  2  4 10 11
 1  2  5  6 10
1 2 5 7 9
 1  2  6  7 12
 1  2  8 10 12
 1  3  4  5 12
1 3 4 7 9
 1  3  5  8 10
 1  3  5  9 11
 1  3  6  7 10
 1  3  6  9 12
 1  3  8 11 12
1 4 5 6 9
 1  4  5  7 10
 1  4  6  8 11
 1  4  6 10 12
 1  4  7 11 12
 1  4  8  9 10
 1  5  6  7 11
 1  5  6  8 12
 1  5 10 11 12
1 6 7 8 9
 1  6  9 10 11
 1  7  8 10 11
2 3 4 5 9
 2  3  4  6 11
 2  3  4  7 12
 2  3  5  6 12
 2  3  5  7 10
2 3 6 7 9
 2  3  8  9 11
 2  3 10 11 12
 2  4  5  7 11
 2  4  5 10 12
 2  4  6  7 10
2 4 6 8 9
2 5 6 7 8
 2  5  6  9 11
 2  5  8 11 12
 2  6  8 10 11
 2  6  9 10 12
 2  7  8  9 10
 2  7  9 11 12
3 4 5 6 7
 3  4  5  8 11
 3  4  6  9 10
 3  4  7  8 10
 3  4  9 11 12
3 5 6 8 9
 3  5  6 10 11
 3  5  7 11 12
 3  5  9 10 12
 3  6  7  8 11
 3  6  8 10 12
 3  7  8  9 12
 3  7  9 10 11
 4  5  6  8 10
 4  5  6 11 12
 4  5  8  9 12
 4  5  9 10 11
 4  6  7  8 12
 4  6  7  9 11
 4  7  9 10 12
 4  8 10 11 12
 5  6  7  9 12
 5  7  8  9 11
 5  7  8 10 12
 6  7 10 11 12
 6  8  9 11 12
